rank,question,answer,difficulty,category
20,What are the rules of hooks?,"1. Only call hooks at the top level of React functions, never inside loops, conditions, or nested functions. 2. Only call hooks from React function components or custom hooks. 3. Always call hooks in the same order. These rules ensure hooks work correctly with React's internal state management.",Intermediate,React Hooks
21,What is useMemo and when should you use it?,"useMemo memoizes expensive calculations, recomputing only when dependencies change. Use for computationally intensive operations that don't need to run on every render. Example: const expensiveValue = useMemo(() => computeExpensiveValue(a, b), [a, b]). Don't overuse - memoization has overhead.",Intermediate,React Hooks
22,What is useCallback and when should you use it?,"useCallback memoizes functions to prevent recreation on every render. Useful when passing callbacks to optimized child components that depend on reference equality. Example: const memoizedCallback = useCallback(() => doSomething(a, b), [a, b]). Helps prevent unnecessary child re-renders.",Intermediate,React Hooks
23,What is useReducer and when would you use it over useState?,"useReducer manages complex state logic through actions and reducers, similar to Redux. Use when: state has multiple sub-values, next state depends on previous one, complex state transitions, or when you need more predictable state updates. Better than useState for complex state logic.",Intermediate,React Hooks
24,How do you create custom hooks?,"Custom hooks are JavaScript functions starting with 'use' that can call other hooks. They extract component logic into reusable functions. Example: function useCounter(initialValue) { const [count, setCount] = useState(initialValue); const increment = () => setCount(count + 1); return { count, increment }; }",Intermediate,React Hooks
25,What are Higher-Order Components (HOCs)?,"HOCs are functions that take a component and return a new component with additional props or behavior. Used for cross-cutting concerns like authentication, logging, or data fetching. Example: const withAuth = (WrappedComponent) => (props) => isAuthenticated ? <WrappedComponent {...props} /> : <Login />",Advanced,Advanced Patterns
26,What are render props?,A technique for sharing code between components using a prop whose value is a function. The component calls this function instead of implementing its own render logic. Example: <DataProvider render={(data) => <DisplayComponent data={data} />} />. Provides flexibility in what gets rendered.,Advanced,Advanced Patterns
27,What are error boundaries?,"Error boundaries are React components that catch JavaScript errors in their child component tree, log errors, and display fallback UI. Implemented using componentDidCatch and static getDerivedStateFromError in class components. They don't catch errors in event handlers, async code, or during SSR.",Advanced,Error Handling
28,What is React.lazy and Suspense?,React.lazy enables dynamic imports for code splitting. Suspense provides fallback UI while lazy components load. Example: const LazyComponent = React.lazy(() => import('./LazyComponent')); <Suspense fallback={<Loading />}><LazyComponent /></Suspense>. Improves initial load performance.,Advanced,Performance
29,What are React Portals?,"Portals render children into a DOM node outside the parent component's hierarchy. Useful for modals, tooltips, dropdowns that need to escape parent overflow/z-index constraints. Example: ReactDOM.createPortal(child, document.getElementById('modal-root'))",Advanced,Advanced Concepts
30,What is forwardRef and when do you use it?,"forwardRef allows passing refs through components to child elements. Useful for library components that need to expose DOM elements to parent components. Example: const MyInput = forwardRef((props, ref) => <input {...props} ref={ref} />)",Advanced,Advanced Concepts
31,Explain React's reconciliation process,"Reconciliation is React's algorithm to determine what changes need to be made to the DOM. It compares (diffs) the new virtual DOM tree with the previous one, identifies minimal changes needed, and efficiently updates the real DOM. Uses heuristics like component type and keys for optimization.",Advanced,React Internals
32,What is React Fiber?,"React Fiber is a complete rewrite of React's core algorithm for better performance and new features. It enables incremental rendering, pause/abort/resume work, priority-based updates, and time-slicing. Allows React to break rendering work into chunks and spread it over multiple frames.",Advanced,React Internals
33,What are synthetic events in React?,"SyntheticEvents are React's wrapper around native DOM events, providing consistent API across different browsers. They have the same interface as native events but work identically across all browsers. Events are pooled for performance - use event.persist() if accessing asynchronously.",Intermediate,Events
34,How do you handle asynchronous data fetching in React?,"Use useEffect for side effects, manage loading/error states with useState, handle cleanup to prevent memory leaks. Consider custom hooks for reusable logic, libraries like SWR/React Query for caching, and proper error boundaries. Example pattern: loading -> success/error states.",Intermediate,Data Fetching
35,What is React.memo and when should you use it?,"React.memo is a higher-order component that memoizes functional components, preventing re-renders when props haven't changed (shallow comparison). Use when component renders often with same props or parent re-renders frequently. Can provide custom comparison function as second argument.",Intermediate,Performance
36,How do you test React components?,"Use React Testing Library for user-centric testing, Jest for test runner, render components and interact with them as users would. Test behavior, not implementation. Mock external dependencies, use screen queries (getByRole, getByText), simulate user interactions with userEvent.",Intermediate,Testing
37,What is the difference between controlled and uncontrolled components?,"Controlled: React controls the input value via state, value prop, and onChange handler. Single source of truth, predictable, easier to validate. Uncontrolled: DOM controls the value, accessed via refs, form data handled at submission. Less code but harder to validate dynamically.",Beginner,Forms
38,How do you optimize performance in large React applications?,"Use code splitting (React.lazy), memoization (React.memo, useMemo, useCallback), virtualization for large lists, optimize bundle size, implement proper state management, avoid unnecessary re-renders, use production builds, monitor with React DevTools Profiler, consider SSR/SSG.",Advanced,Performance
39,What is the component lifecycle in class components?,"Mounting: constructor, componentDidMount. Updating: shouldComponentUpdate, componentDidUpdate. Unmounting: componentWillUnmount. Error: componentDidCatch. Each phase allows different operations - setup, cleanup, optimization, error handling. Hooks replace these in functional components.",Intermediate,Lifecycle
40,How do you handle state management in large applications?,"For local state use useState/useReducer. For global state consider Context API, Redux (predictable state updates), Zustand (lightweight), or Jotai (atomic state). Choose based on complexity: Context for simple global state, Redux for complex state logic, newer libraries for modern alternatives.",Advanced,State Management
41,What is Server-Side Rendering (SSR) in React?,"SSR renders React components on the server and sends HTML to the browser. Benefits: better SEO, faster initial page load, improved performance on slow devices. Implemented with frameworks like Next.js. Challenges: complexity, server resources, hydration mismatches.",Advanced,SSR/SSG
42,What is Static Site Generation (SSG)?,"SSG pre-renders pages at build time, generating static HTML files. Faster than SSR, better for SEO than CSR, great for content that doesn't change often. Can combine with incremental regeneration for dynamic content. Implemented with Next.js getStaticProps/getStaticPaths.",Advanced,SSR/SSG
43,How do you implement routing in React?,"Use React Router for client-side routing. BrowserRouter for history API, Routes/Route for path matching, Link/NavLink for navigation, useNavigate for programmatic navigation, useParams for route parameters. Handle nested routes, protected routes, and 404 pages.",Intermediate,Routing
44,What are React Design Patterns?,"Common patterns: Presentational/Container (separate logic from UI), Render Props (share code via function props), HOCs (enhance components), Custom Hooks (reusable stateful logic), Compound Components (components working together), Provider Pattern (context-based state).",Advanced,Advanced Patterns
45,How do you handle environment variables in React?,"Use REACT_APP_ prefix for custom environment variables in Create React App. Access via process.env.REACT_APP_VARIABLE_NAME. Store in .env files (.env, .env.local, .env.production). Never store secrets in React apps - they're visible to users.",Intermediate,Build & Deploy
46,What is the difference between React and other frameworks like Angular/Vue?,"React: Library focused on UI, flexible, large ecosystem, JSX, unidirectional data flow. Angular: Full framework, TypeScript-first, dependency injection, two-way binding. Vue: Progressive framework, template syntax, easier learning curve, composition API. Choose based on project needs and team expertise.",Intermediate,Comparison
47,How do you implement authentication in React?,"Store auth tokens securely (httpOnly cookies preferred), implement protected routes, use Context/Redux for auth state, handle token refresh, implement login/logout flows, validate on server, use libraries like Auth0 or implement JWT-based auth with proper security practices.",Advanced,Security
48,What are React development tools and debugging techniques?,"React DevTools browser extension for component inspection, Profiler for performance analysis, console.log and debugger statements, React strict mode for development checks, Error boundaries for error handling, source maps for debugging bundled code.",Intermediate,Development Tools
49,How do you handle CSS in React applications?,"Options include: CSS Modules (scoped styles), Styled Components (CSS-in-JS), CSS frameworks (Tailwind), Sass/Less preprocessors, inline styles (limited use), CSS custom properties. Choose based on team preferences, scalability needs, and design system requirements.",Intermediate,Styling
50,What are the best practices for React development?,"Use functional components with hooks, follow naming conventions, keep components small and focused, use TypeScript for type safety, implement proper error handling, optimize performance, write tests, use linting/formatting tools, avoid prop drilling, maintain consistent code structure.",Intermediate,Best Practices
51,What is Concurrent Mode in React?,"Concurrent Mode enables React to interrupt rendering to handle high-priority updates, making apps more responsive. Features include time slicing, suspense for data fetching, and priority-based rendering. Helps prevent UI blocking during heavy computations. Still experimental in React 18.",Advanced,React Internals
52,How do you implement virtualization in React?,"Use libraries like react-window or react-virtualized to render only visible items in large lists, improving performance. Calculates which items are in viewport and renders only those, dramatically reducing DOM nodes for lists with thousands of items.",Advanced,Performance
53,What is the useImperativeHandle hook?,useImperativeHandle customizes the instance value exposed to parent components when using ref. Used with forwardRef to expose specific methods/properties instead of the entire DOM element. Rare use cases where declarative approach isn't sufficient.,Advanced,React Hooks
54,How do you handle memory leaks in React?,"Cancel API requests in useEffect cleanup, clear timeouts/intervals, unsubscribe from observables, remove event listeners, avoid closures that retain references. Use AbortController for fetch cancellation, weak references where appropriate, and monitor with dev tools.",Advanced,Memory Management
55,What are React 18's new features?,"Automatic batching, concurrent rendering, Suspense improvements, startTransition API, useDeferredValue hook, useId hook, strict mode enhancements, new root API (createRoot), improved hydration, and selective hydration for SSR.",Advanced,React 18
56,How do you implement drag and drop in React?,"Use HTML5 drag and drop API or libraries like react-dnd, react-beautiful-dnd. Handle dragStart, dragOver, drop events, manage drag state, provide visual feedback. Consider accessibility, touch devices, and keyboard navigation for comprehensive implementation.",Advanced,UI Interactions
57,What is the useSyncExternalStore hook?,useSyncExternalStore subscribes to external data sources that aren't managed by React state. Ensures consistent reads during concurrent rendering. Used for integration with external state management libraries or browser APIs that don't use React state.,Advanced,React 18
58,How do you implement infinite scrolling in React?,"Use Intersection Observer API to detect when user reaches bottom, fetch more data, manage loading states, handle errors. Libraries like react-infinite-scroll-component simplify implementation. Consider performance with virtualization for very long lists.",Advanced,UI Patterns
59,What are React Server Components?,"Server Components run on the server and can directly access databases/APIs without client-server waterfalls. They don't hydrate on client, reducing bundle size. Work alongside traditional components, enabling new patterns for performance optimization in frameworks like Next.js.",Advanced,Server Components
60,How do you implement real-time features in React?,"Use WebSockets, Server-Sent Events, or libraries like Socket.io for real-time communication. Manage connection state, handle reconnection, implement message queuing, consider optimistic updates. Libraries like SWR support real-time features with built-in caching.",Advanced,Real-time
61,What is the difference between useLayoutEffect and useEffect?,"useEffect runs asynchronously after DOM mutations, good for data fetching, subscriptions. useLayoutEffect runs synchronously before browser paint, useful for DOM measurements, preventing flicker. Use useLayoutEffect sparingly as it can block visual updates.",Advanced,React Hooks
62,How do you implement a11y (accessibility) in React?,"Use semantic HTML, proper ARIA attributes, focus management, keyboard navigation, screen reader support. Tools: eslint-plugin-jsx-a11y, react-axe for testing. Ensure proper heading hierarchy, alt text for images, form labels, and color contrast.",Advanced,Accessibility
63,What are React patterns for data fetching?,"Patterns include: Fetch-on-render (useEffect), Fetch-then-render (start fetch before component), Render-as-you-fetch (with Suspense). Libraries like SWR, React Query provide caching, revalidation, error handling. Consider loading states and error boundaries.",Advanced,Data Fetching
64,How do you implement internationalization (i18n) in React?,"Use libraries like react-i18next, react-intl. Organize translations by feature/page, handle pluralization, number/date formatting, RTL languages. Consider lazy loading translations, fallback languages, and SEO for different locales with proper lang attributes.",Advanced,Internationalization
65,What is the React Context performance issue and how to solve it?,"Context triggers re-renders in all consumers when value changes. Solutions: split contexts by update frequency, memoize context values with useMemo, use state managers for frequent updates, implement selectors with additional libraries like use-context-selector.",Advanced,Performance
66,How do you implement search functionality in React?,"Implement debounced search with setTimeout, manage search state, handle loading/empty states, implement filters/sorting. Consider client-side search for small datasets, server-side for large ones. Use libraries like fuse.js for fuzzy search, highlight matches in results.",Intermediate,UI Features
67,What are React anti-patterns to avoid?,"Avoid: mutating state directly, using array index as keys for dynamic lists, props drilling extensively, mixing side effects in render, not cleaning up effects, overusing refs, inline object/function props, ignoring warnings, not handling errors properly.",Intermediate,Best Practices
68,How do you implement modal dialogs in React?,"Use React Portals to render outside component tree, manage focus trapping, handle escape key, prevent background scroll, implement proper ARIA attributes. Libraries like react-modal provide accessibility features. Consider animation and mobile responsiveness.",Intermediate,UI Components
69,What is the useDeferredValue hook?,"useDeferredValue defers updates to a value during urgent updates, helping keep UI responsive. Useful for expensive operations that can be delayed. Works with Concurrent Features to prioritize user interactions over less critical updates like search results.",Advanced,React 18
70,How do you implement form validation in React?,"Implement client-side validation with custom logic or libraries like Yup, Joi. Show errors inline, validate on blur/submit, handle server validation, provide clear error messages. Consider accessibility for screen readers and proper ARIA attributes for errors.",Intermediate,Forms
71,What is the startTransition API?,"startTransition marks updates as non-urgent, allowing React to prioritize more important updates like user input. Helps keep UI responsive during expensive operations. Used with isPending for loading indicators during transitions.",Advanced,React 18
72,How do you implement progressive web app features in React?,"Add service worker for caching, web app manifest for installability, implement offline functionality, push notifications, background sync. Tools like Workbox simplify service worker implementation. Consider performance metrics and app-like experience.",Advanced,PWA
73,What are React patterns for component composition?,"Patterns include: children props for generic containers, render props for behavior sharing, compound components for related UI pieces, provider pattern for context, HOCs for cross-cutting concerns, custom hooks for stateful logic reuse.",Advanced,Component Composition
74,How do you implement theme switching in React?,"Use Context API for theme state, CSS custom properties for dynamic values, localStorage for persistence, system preference detection. Consider reducing motion preferences, high contrast mode, and smooth transitions between themes.",Intermediate,Theming
75,What is the useInsertionEffect hook?,"useInsertionEffect runs before all other effects, useful for CSS-in-JS libraries to insert styles before layout effects. Has same signature as useEffect but fires before DOM mutations. Very specific use case for library authors.",Advanced,React 18
76,How do you implement file upload in React?,"Use HTML file input, handle file selection, validate file types/sizes, implement progress indicators, preview images, handle multiple files, error states. Consider drag-and-drop, chunked uploads for large files, and security concerns.",Intermediate,File Handling
77,What are React development vs production differences?,"Development: detailed error messages, additional warnings, unminified code, React DevTools support, strict mode checks. Production: minified code, removed warnings, optimized performance, no development-only features. Use NODE_ENV to distinguish environments.",Intermediate,Build & Deploy
78,How do you implement code splitting by route in React?,"Use React.lazy with dynamic imports for route components, wrap in Suspense with loading fallback, implement error boundaries for chunk loading failures. Consider preloading routes on user interaction to improve perceived performance.",Advanced,Performance
79,What is the React Profiler API?,"React Profiler measures rendering performance programmatically. Wrap components with <Profiler>, provide onRender callback to collect timing data. Useful for performance monitoring in production, identifying slow components, and optimization tracking.",Advanced,Performance
80,How do you implement undo/redo functionality in React?,"Maintain history stack of states, implement commands pattern, manage current position in history, provide undo/redo actions. Consider memory usage for large states, serialization for persistence, and keyboard shortcuts for user experience.",Advanced,UI Features
81,What are React 18 automatic batching improvements?,"React 18 automatically batches multiple state updates even in promises, timeouts, native event handlers. Previously only batched in React event handlers. Use flushSync to opt out of batching when immediate updates are needed.",Advanced,React 18
82,How do you implement optimistic updates in React?,"Update UI immediately with expected result, then sync with server. Revert if server request fails, show loading states for confirmation, handle conflicts. Useful for better perceived performance in actions like likes, comments, form submissions.",Advanced,UX Patterns
83,What is React's strict mode and what does it do?,"Strict mode enables additional development checks: detects side effects in render, warns about deprecated APIs, double-invokes functions to catch side effects, helps identify unsafe lifecycles. Only runs in development, helps prepare for future React versions.",Intermediate,Development Tools
84,How do you implement skeleton loading screens in React?,"Create placeholder components mimicking final content structure, use CSS animations for shimmer effect, replace with actual content when loaded. Consider accessibility with proper loading announcements and provide option to disable animations.",Intermediate,UI Components
85,What are React testing strategies and best practices?,"Test behavior not implementation, use React Testing Library, write integration tests, mock external dependencies, test error scenarios, use MSW for API mocking, follow testing pyramid (unit > integration > e2e), test accessibility.",Advanced,Testing
86,How do you implement data persistence in React apps?,"Use localStorage/sessionStorage for small data, IndexedDB for large amounts, server-side databases for shared data. Handle serialization, storage limits, privacy modes. Consider state synchronization across tabs and offline scenarios.",Intermediate,Data Management
87,What is React's scheduler and how does it work?,"Scheduler is React's internal priority-based task scheduling system. Assigns priorities to different types of work, yields control to browser for urgent tasks, enables time slicing and concurrent features. Part of React's concurrent architecture.",Advanced,React Internals
88,How do you implement responsive design in React?,"Use CSS media queries, CSS Grid/Flexbox, responsive units (rem, vh, vw), React hooks for window size detection, conditional rendering based on screen size. Consider mobile-first approach and touch interactions.",Intermediate,Responsive Design
89,What are React micro-frontend patterns?,"Patterns for splitting large apps: module federation (Webpack 5), iframe isolation, build-time integration, runtime composition with single-spa. Consider shared dependencies, routing coordination, and communication between micro-frontends.",Advanced,Architecture
90,How do you implement keyboard navigation in React?,"Handle keyDown events, manage focus programmatically, implement proper tab order, support arrow keys for grids/lists, provide skip links, announce changes to screen readers. Follow WCAG guidelines for keyboard accessibility.",Advanced,Accessibility
91,What are React performance monitoring techniques?,"Use React DevTools Profiler, Web Vitals metrics, User Timing API, React Profiler component, performance.mark/measure, lighthouse auditing. Monitor bundle sizes, rendering times, memory usage, and user interaction metrics.",Advanced,Performance
92,How do you implement data visualization in React?,"Use libraries like D3.js (with React integration patterns), Recharts, Victory, Chart.js. Handle data transformation, responsiveness, accessibility (alt text, data tables), animations, and interactive features like tooltips and zooming.",Advanced,Data Visualization
93,What are React hydration issues and solutions?,"Hydration mismatches occur when server and client render differently. Solutions: ensure consistent data, handle client-only content with effects, use suppressHydrationWarning sparingly, implement proper loading states, consider selective hydration in React 18.",Advanced,SSR/Hydration
94,How do you implement state machines in React?,"Use libraries like XState for complex state logic, implement finite state machines with useReducer for simpler cases, manage state transitions explicitly, handle side effects in state transitions. Useful for complex UI workflows and form wizards.",Advanced,State Management
95,What are React concurrent features and how to use them?,"Features include: Suspense for data fetching, startTransition for non-urgent updates, useDeferredValue for delayed updates, concurrent rendering for better UX. Enable with concurrent mode, handle loading states, prioritize user interactions.",Advanced,Concurrent React
96,How do you implement canvas integration in React?,"Use useRef for canvas element access, useEffect for drawing operations, handle canvas cleanup, implement drawing functions, manage canvas state, handle events (mouse, touch), consider performance for animations and complex graphics.",Advanced,Canvas Integration
97,What are React security best practices?,"Sanitize user input, avoid dangerouslySetInnerHTML, validate props with PropTypes/TypeScript, secure API communication, implement CSP headers, handle authentication properly, avoid XSS vulnerabilities, keep dependencies updated.",Advanced,Security
98,How do you implement WebGL in React applications?,"Use libraries like Three.js with react-three-fiber, handle WebGL context, manage 3D scenes, implement shaders, handle performance optimization, provide fallbacks for unsupported browsers, manage memory with proper cleanup.",Advanced,WebGL/3D
99,What are React native bridge concepts for web developers?,"Understand native module communication, platform-specific code, bridge architecture, JavaScript thread vs UI thread, performance implications, native component integration, and differences from React web development patterns.",Advanced,React Native
100,How do you architect large-scale React applications?,"Implement feature-based folder structure, establish component hierarchies, choose appropriate state management, implement design systems, set up build optimization, establish testing strategies, handle deployment, monitor performance, and plan for scalability.",Advanced,Architecture
